resume,job,label
"python machine learning engineer with tensorflow and pandas","ai ml engineer python tensorflow",1
"java spring boot backend developer microservices","python ai ml engineer",0
"data scientist python numpy pandas sklearn","data scientist python machine learning",1
"frontend developer react js html css","backend python developer",0
"cloud engineer aws docker kubernetes","cloud engineer docker kubernetes",1
"cybersecurity analyst penetration testing","ai engineer machine learning",0
"deep learning engineer pytorch computer vision","computer vision engineer pytorch",1
"android developer kotlin java","data scientist python",0
"devops engineer ci cd docker kubernetes","devops engineer kubernetes ci cd",1
"sql data analyst power bi excel","machine learning engineer python",0
"nlp engineer transformers huggingface","nlp engineer llm huggingface",1
"network engineer routing switching","ai ml engineer",0
"software engineer python flask api development","backend python api developer",1
"game developer unity csharp","data engineer python spark",0
"big data engineer spark hadoop kafka","data engineer spark kafka",1
